No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
147,GOGL,Golden Ocean Group Limited,1655502240,8.26,-2.36%,1044789000
148,IOVA,"Iovance Biotherapeutics, Inc.",1651944581,7.36,-1.08%,
149,BNRE,Brookfield Reinsurance Ltd.,1650143834,31.82,-1.55%,6005000000
150,LIFW,"MSP Recovery, Inc.",1643505536,0.51,-1.90%,
151,KEN,Kenon Holdings Ltd.,1641623424,30.46,-0.29%,573957000
152,OII,"Oceaneering International, Inc.",1640535600,16.28,0.18%,2156912000
153,KYMR,"Kymera Therapeutics, Inc.",1639876270,29.65,,
154,FSLY,"Fastly, Inc.",1637030000,12.89,-2.64%,447907000
155,OXM,"Oxford Industries, Inc.",1631137252,103.37,-5.42%,1411528000
156,BKE,"The Buckle, Inc.",1629230698,32.29,-4.69%,1345187000
157,CLBK,"Columbia Financial, Inc.",1627357800,15.38,-2.16%,292146000
158,IRWD,"Ironwood Pharmaceuticals, Inc.",1626472620,10.47,2.45%,417128000
159,PHR,"Phreesia, Inc.",1626260400,30.48,-0.49%,280910000
160,TMCI,"Treace Medical Concepts, Inc.",1625284750,26.50,0.38%,154986000
161,PRK,Park National Corporation,1621884600,100.25,-4.00%,480892000
162,UNFI,"United Natural Foods, Inc.",1621562670,27.30,-2.81%,29863000000
163,VSTO,Vista Outdoor Inc.,1616098998,28.31,-0.28%,3147660000
164,HPK,"HighPeak Energy, Inc.",1613904020,14.26,2.08%,887251000
165,BBUC,Brookfield Business Corporation,1613766900,22.12,-1.82%,11268000000
166,QTWO,"Q2 Holdings, Inc.",1611508158,27.69,-0.57%,584610000
167,NWN,Northwest Natural Holding Company,1606583352,44.67,0.38%,1149475000
168,ANGI,Angi Inc.,1605817390,3.17,-0.94%,1847772000
169,DFH,"Dream Finders Homes, Inc.",1605587181,17.24,-1.65%,3447689000
170,CVBF,CVB Financial Corp.,1603227900,11.51,-3.44%,560728000
171,PAYO,Payoneer Global Inc.,1600722814,4.45,1.14%,682679000
172,BCRX,"BioCryst Pharmaceuticals, Inc.",1594611468,8.44,0.84%,289682000
173,ZIP,"ZipRecruiter, Inc.",1593274049,15.79,-1.19%,861138000
174,TTEC,"TTEC Holdings, Inc.",1589594284,33.64,-0.21%,2488267000
175,PLAY,"Dave & Buster's Entertainment, Inc.",1588041900,34.50,-0.86%,1964427000
176,ESRT,"Empire State Realty Trust, Inc.",1587729232,5.70,0.18%,727629000
177,TH,Target Hospitality Corp.,1581434400,15.60,-2.44%,569469000
178,VRNA,Verona Pharma plc,1580427576,19.89,2.47%,458000
179,MYGN,"Myriad Genetics, Inc.",1578908672,19.36,3.14%,694700000
180,HLMN,Hillman Solutions Corp.,1578368200,8.11,1.50%,1473022000
181,SAND,Sandstorm Gold Ltd.,1577611284,5.28,1.15%,157346000
182,CRCT,"Cricut, Inc.",1576220560,7.19,-4.39%,822740000
183,NAPA,"The Duckhorn Portfolio, Inc.",1576195920,13.68,-2.08%,381252000
184,MOMO,Hello Group Inc.,1571048960,8.32,-2.35%,12704172000
185,OSCR,"Oscar Health, Inc.",1569929195,7.19,-1.37%,4460558000
186,IMKTA,"Ingles Markets, Incorporated",1569127384,82.61,0.95%,5784105101
187,RES,"RPC, Inc.",1568682500,7.25,0.28%,1793806000
188,TGH,Textainer Group Holdings Limited,1567354241,36.97,0.30%,829360000
189,ZNTL,"Zentalis Pharmaceuticals, Inc.",1567240030,26.35,-1.27%,
190,GERN,Geron Corporation,1567002385,3.08,3.36%,494000
191,AMEH,"Apollo Medical Holdings, Inc.",1566712965,33.35,-1.48%,1218150000
192,BANR,Banner Corporation,1564284376,45.56,-2.40%,636141000
193,CSGS,"CSG Systems International, Inc.",1564169962,49.37,0.59%,1124091000
194,OPEN,Opendoor Technologies Inc.,1563552628,2.41,-0.41%,13536000000
195,KNTK,Kinetik Holdings Inc.,1560018960,31.80,0.79%,1237281000
196,DICE,"DICE Therapeutics, Inc.",1558881396,32.66,-0.43%,
197,HURN,Huron Consulting Group Inc.,1557108285,81.05,1.45%,1220571000
198,FRME,First Merchants Corporation,1557079899,26.09,-2.43%,652328000
199,TSLX,"Sixth Street Specialty Lending, Inc.",1556846831,18.05,1.18%,338382000
200,ESBA,"Empire State Realty OP, L.P.",1556618386,5.75,6.37%,727629000
201,ROIC,Retail Opportunity Investments Corp.,1556408750,12.35,-0.72%,315752000
202,CLDX,"Celldex Therapeutics, Inc.",1554134725,32.89,5.11%,3150000
203,EMBC,Embecta Corp.,1549240060,27.05,-4.95%,1118500000
204,VCEL,Vericel Corporation,1546334899,32.51,-1.34%,169308000
205,MGNI,"Magnite, Inc.",1545555091,11.40,-2.65%,589144000
206,OMI,"Owens & Minor, Inc.",1545449568,20.28,0.75%,10071372000
207,SPNT,SiriusPoint Ltd.,1536665725,9.43,0.11%,2429100000
208,MARA,"Marathon Digital Holdings, Inc.",1535895000,9.18,-2.19%,117167282
209,PATK,"Patrick Industries, Inc.",1535279648,68.78,-0.86%,4439797000
210,FNA,"Paragon 28, Inc.",1533602970,18.63,0.81%,192048000
211,EQX,Equinox Gold Corp.,1532269200,4.90,1.45%,963125000
212,PRG,"PROG Holdings, Inc.",1531800880,32.77,-0.97%,2542502000
213,AUPH,Aurinia Pharmaceuticals Inc.,1521881760,10.64,-0.93%,146814000
214,VRTV,Veritiv Corporation,1519251190,112.15,0.31%,6798400000
215,AGM.A,Federal Agricultural Mortgage Corporation,1519124400,116.00,-0.16%,310399000
216,TALO,Talos Energy Inc.,1515460920,12.07,0.33%,1560996000
217,CRDO,Credo Technology Group Holding Ltd,1515383482,10.20,0.10%,189632000
218,LOMA,Loma Negra Compañía Industrial Argentina SA,1514600443,6.13,,822747245
219,VLRS,"Controladora Vuela Compañía de Aviación, SAB de CV",1508648680,13.09,-1.36%,159982356
220,MEI,"Methode Electronics, Inc.",1508520544,41.92,-0.52%,1167100000
221,BFH,"Bread Financial Holdings, Inc.",1505547724,30.04,-1.57%,2687000000
222,AROC,"Archrock, Inc.",1502705127,9.59,,878201000
223,SEAT,Vivid Seats Inc.,1502368974,7.67,0.26%,630565000
224,PDFS,"PDF Solutions, Inc.",1502357787,39.69,1.69%,155810000
225,PGTI,"PGT Innovations, Inc.",1501516426,25.57,-1.46%,1510121000
226,BOH,Bank of Hawaii Corporation,1496745975,37.75,-2.63%,706277000
227,AHCO,AdaptHealth Corp.,1496494080,11.04,-0.54%,3009018000
228,ROAD,"Construction Partners, Inc.",1495903888,29.39,2.33%,1439954000
229,CNNE,"Cannae Holdings, Inc.",1495375590,19.55,0.51%,649000000
230,CMTG,"Claros Mortgage Trust, Inc.",1494460800,10.80,2.56%,298376000
231,SNDX,"Syndax Pharmaceuticals, Inc.",1492733910,21.69,2.07%,
232,BBU,Brookfield Business Partners L.P.,1492260000,20.00,2.56%,57831000000
233,PTGX,"Protagonist Therapeutics, Inc.",1491396365,26.05,4.03%,859000
234,TLRY,"Tilray Brands, Inc.",1489399280,2.41,-1.23%,596261000
235,USPH,"U.S. Physical Therapy, Inc.",1487438262,113.87,1.43%,569949000
236,MLNK,"MeridianLink, Inc.",1487101176,18.44,2.62%,292427000
237,AGM,Federal Agricultural Mortgage Corporation,1484373270,140.93,0.37%,310399000
238,OEC,Orion Engineered Carbons S.A.,1484034549,25.21,1.04%,2047100000
239,BRDG,Bridge Investment Group Holdings Inc.,1483401704,9.44,3.85%,404287000
240,KN,Knowles Corporation,1481851155,16.22,-0.73%,707600000
241,EFSC,Enterprise Financial Services Corp,1481302280,39.70,-1.37%,562046000
242,NAAS,NaaS Technology Inc.,1478567540,6.73,-6.66%,13316212
243,SWI,SolarWinds Corporation,1471635958,8.99,-0.77%,728475000
244,NBTB,NBT Bancorp Inc.,1471188447,34.29,-2.89%,500776000
245,DK,"Delek US Holdings, Inc.",1469704912,22.36,-1.50%,19711000000
246,RADI,"Radius Global Infrastructure, Inc.",1469047360,14.74,0.07%,146071000
247,PRIM,Primoris Services Corporation,1467935630,27.55,0.95%,4893110000
248,NVEE,"NV5 Global, Inc.",1466517552,93.36,-1.29%,780942000
249,IVT,InvenTrust Properties Corp.,1461561190,21.65,-1.90%,243126000
250,EPAC,Enerpac Tool Group Corp.,1460382308,25.54,0.27%,585064000
251,INT,World Fuel Services Corporation,1458791268,23.48,-0.97%,59142700000
252,AAT,"American Assets Trust, Inc.",1458762572,18.97,0.69%,428932000
253,PRCT,PROCEPT BioRobotics Corporation,1455539652,32.31,-1.58%,85221000
254,RNST,Renasant Corporation,1451123323,25.87,-1.37%,636284000
255,SLG,SL Green Realty Corp.,1451023770,22.54,-0.79%,862350000
256,AGIO,"Agios Pharmaceuticals, Inc.",1450658880,26.10,1.12%,19017000
257,NWLI,"National Western Life Group, Inc.",1449172131,398.56,-1.59%,576712000
258,OCSL,Oaktree Specialty Lending Corporation,1445246250,18.75,0.32%,308762000
259,KROS,"Keros Therapeutics, Inc.",1443117276,48.78,4.41%,
260,DADA,Dada Nexus Limited,1440035080,5.62,-3.93%,1443635226
261,TNC,Tennant Company,1439538254,77.77,-0.54%,1139900000
262,GSBD,"Goldman Sachs BDC, Inc.",1439438450,13.15,0.31%,386551000
263,CODI,Compass Diversified,1438953920,20.00,-1.28%,2250353000
264,ADUS,Addus HomeCare Corporation,1435538937,88.59,0.65%,976084000
265,SAH,"Sonic Automotive, Inc.",1435202111,40.52,-2.20%,14036100000
266,ENVA,"Enova International, Inc.",1434884595,45.97,-0.76%,1134765000
267,KDNY,"Chinook Therapeutics, Inc.",1426750902,21.33,-0.23%,5259000
268,ARI,"Apollo Commercial Real Estate Finance, Inc.",1426150951,10.09,-0.59%,326576000
269,PERI,Perion Network Ltd.,1425048498,30.63,-2.39%,660091000
270,XHR,"Xenia Hotels & Resorts, Inc.",1423562792,12.47,-0.48%,1056233000
271,ERII,"Energy Recovery, Inc.",1421649948,25.23,-0.04%,106446000
272,DVAX,Dynavax Technologies Corporation,1417046160,11.03,0.64%,655616000
273,NMRK,"Newmark Group, Inc.",1417038653,5.93,0.51%,2548078000
274,MNTV,Momentive Global Inc.,1414979100,9.39,,482752000
275,LVWR,"LiveWire Group, Inc.",1414838854,6.99,2.34%,43181000
276,KRP,"Kimbell Royalty Partners, LP",1413022054,15.94,1.27%,281221144
277,XPOF,"Xponential Fitness, Inc.",1411914468,27.97,0.14%,265282000
278,ORLA,Orla Mining Ltd.,1410636000,4.60,4.31%,204716000
279,HBI,Hanesbrands Inc.,1408605836,4.03,-4.73%,6046904000
280,BRP,"BRP Group, Inc.",1404763480,22.04,0.96%,1068318000
281,SCHL,Scholastic Corporation,1401904602,42.42,1.70%,1690100000
282,MNRO,"Monro, Inc.",1400907368,44.62,-0.95%,1342576000
283,CMP,"Compass Minerals International, Inc.",1400229302,34.07,-0.03%,1227600000
284,CTS,CTS Corporation,1395960400,44.26,0.07%,585168000
285,MBC,"MasterBrand, Inc.",1395618600,10.86,0.65%,
286,ELME,Elme Communities,1393897749,15.89,1.08%,217385000
287,VZIO,VIZIO Holding Corp.,1391767767,7.12,-1.11%,1734100000
288,MSC,Studio City International Holdings Limited,1388618440,6.59,-0.75%,51023000
289,BKU,"BankUnited, Inc.",1383962760,18.60,-2.00%,924950000
290,WSBC,"WesBanco, Inc.",1383408110,23.35,-2.87%,600244000
291,LMAT,"LeMaitre Vascular, Inc.",1381014645,62.33,-1.30%,169165000
292,MAXN,"Maxeon Solar Technologies, Ltd.",1374100548,30.26,7.99%,1155364000
293,COCO,"The Vita Coco Company, Inc.",1373544414,24.42,-0.25%,441098000
294,PLYA,Playa Hotels & Resorts N.V.,1370304000,9.00,-1.32%,910491000
295,NWBI,"Northwest Bancshares, Inc.",1368468510,10.77,-2.53%,527263000
296,NVTS,Navitas Semiconductor Corporation,1367582000,8.50,,44561000
297,PTVE,Pactiv Evergreen Inc.,1367384529,7.67,2.40%,6156000000
298,APPS,"Digital Turbine, Inc.",1366936093,13.78,-1.71%,709937000
299,JBI,"Janus International Group, Inc.",1366186640,9.31,-0.32%,1041893000
300,IBTX,"Independent Bank Group, Inc.",1366004835,33.09,-3.56%,600294000
301,SANA,"Sana Biotechnology, Inc.",1363487063,7.12,-1.39%,
302,CLS,Celestica Inc.,1361263931,11.42,0.18%,7520900000
303,TNK,Teekay Tankers Ltd.,1359039180,40.02,0.58%,1283750000
304,SKIN,The Beauty Health Company,1358356480,10.24,0.49%,376739000
305,HEES,"H&E Equipment Services, Inc.",1357404958,37.31,-0.67%,1294550000
306,UTZ,"Utz Brands, Inc.",1354172940,16.70,-1.53%,1419067000
307,SMTC,Semtech Corporation,1353997617,21.21,-1.21%,756533000
308,STRL,"Sterling Infrastructure, Inc.",1352521534,43.94,0.50%,1762695000
309,ECVT,Ecovyst Inc.,1351811250,11.25,2.18%,801319000
310,ETWO,"E2open Parent Holdings, Inc.",1351173720,4.47,-0.45%,652215000
